timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1709650576352,223,GetOne,201,Created,bzm - Arrivals Thread Group-ThreadStarter 1-10,text,true,,412,597,4,4,https://testslotegrator.com/api/automationTask/getOne,223,0,176
1709650576249,405,GetAll,200,OK,bzm - Arrivals Thread Group-ThreadStarter 1-1,text,true,,126363,536,4,4,https://testslotegrator.com/api/automationTask/getAll,322,0,189
1709650576448,386,GetAll,200,OK,bzm - Arrivals Thread Group-ThreadStarter 1-6,text,true,,126363,536,4,4,https://testslotegrator.com/api/automationTask/getAll,301,0,155
1709650576549,383,GetAll,200,OK,bzm - Arrivals Thread Group-ThreadStarter 1-5,text,true,,126363,536,4,4,https://testslotegrator.com/api/automationTask/getAll,292,0,142
1709650576749,189,GetOne,201,Created,bzm - Arrivals Thread Group-ThreadStarter 1-1,text,true,,412,597,3,3,https://testslotegrator.com/api/automationTask/getOne,189,0,144
1709650576649,401,GetAll,200,OK,bzm - Arrivals Thread Group-ThreadStarter 1-10,text,true,,126363,536,4,4,https://testslotegrator.com/api/automationTask/getAll,306,0,158
1709650576848,206,GetOne,201,Created,bzm - Arrivals Thread Group-ThreadStarter 1-6,text,true,,412,597,3,3,https://testslotegrator.com/api/automationTask/getOne,206,0,163
1709650576949,186,GetOne,201,Created,bzm - Arrivals Thread Group-ThreadStarter 1-1,text,true,,412,597,2,2,https://testslotegrator.com/api/automationTask/getOne,186,0,143
1709650577049,194,GetOne,201,Created,bzm - Arrivals Thread Group-ThreadStarter 1-5,text,true,,412,597,2,2,https://testslotegrator.com/api/automationTask/getOne,194,0,149
1709650577149,188,GetOne,201,Created,bzm - Arrivals Thread Group-ThreadStarter 1-6,text,true,,412,597,2,2,https://testslotegrator.com/api/automationTask/getOne,188,0,145
1709650577249,202,GetOne,201,Created,bzm - Arrivals Thread Group-ThreadStarter 1-1,text,true,,412,597,3,3,https://testslotegrator.com/api/automationTask/getOne,202,0,159
1709650577449,195,GetOne,201,Created,bzm - Arrivals Thread Group-ThreadStarter 1-10,text,true,,412,597,3,3,https://testslotegrator.com/api/automationTask/getOne,195,0,144
1709650577349,371,GetAll,200,OK,bzm - Arrivals Thread Group-ThreadStarter 1-6,text,true,,126363,536,3,3,https://testslotegrator.com/api/automationTask/getAll,282,0,144
1709650577649,237,Create,201,Created,bzm - Arrivals Thread Group-ThreadStarter 1-10,text,true,,479,768,4,4,https://testslotegrator.com/api/automationTask/create,237,0,189
1709650577550,368,GetAll,200,OK,bzm - Arrivals Thread Group-ThreadStarter 1-1,text,true,,126363,536,3,3,https://testslotegrator.com/api/automationTask/getAll,277,0,143
1709650577751,253,GetOne,201,Created,bzm - Arrivals Thread Group-ThreadStarter 1-6,text,true,,412,597,3,3,https://testslotegrator.com/api/automationTask/getOne,253,0,210
